,GEOGRAPHY_CODE,final_total
0,95AA01,10
1,95AA02,15
2,95AA03,10
3,95AA04,10
4,95AA05,5
5,95AA06,15
6,95AA07,10
7,95AA08,10
8,95AA09,15
9,95AA10,10
10,95AA11,10
11,95AA12,0
12,95AA13,5
13,95AA14,5
14,95AA15,25
15,95AA16,20
16,95AA17,15
17,95AA18,0
18,95AA19,5
19,95BB01,20
20,95BB02,25
21,95BB03,25
22,95BB04,10
23,95BB05,5
24,95BB06,30
25,95BB07,20
26,95BB08,20
27,95BB09,15
28,95BB10,10
29,95BB11,15
30,95BB12,30
31,95BB13,25
32,95BB14,0
33,95BB15,15
34,95BB16,5
35,95BB17,20
36,95BB18,10
37,95BB19,20
38,95BB20,25
39,95BB21,30
40,95BB22,40
41,95BB23,15
42,95CC01,20
43,95CC02,5
44,95CC03,20
45,95CC04,10
46,95CC05,10
47,95CC06,10
48,95CC07,10
49,95CC08,15
50,95CC09,5
51,95CC10,10
52,95CC11,15
53,95CC12,5
54,95CC13,10
55,95CC14,5
56,95CC15,5
57,95CC16,10
58,95CC17,5
59,95CC18,5
60,95CC19,10
61,95CC20,5
62,95CC21,15
63,95CC22,15
64,95DD01,5
65,95DD02,10
66,95DD03,15
67,95DD04,25
68,95DD05,20
69,95DD06,5
70,95DD07,10
71,95DD08,15
72,95DD09,5
73,95DD10,15
74,95DD11,15
75,95DD12,5
76,95DD13,10
77,95DD14,5
78,95DD15,5
79,95DD16,10
80,95DD17,10
81,95DD18,10
82,95DD19,5
83,95DD20,20
84,95DD21,10
85,95DD22,5
86,95DD23,5
87,95DD24,5
88,95EE01,5
89,95EE02,10
90,95EE03,15
91,95EE04,10
92,95EE05,5
93,95EE06,5
94,95EE07,15
95,95EE08,5
96,95EE09,5
97,95EE10,10
98,95EE11,5
99,95EE12,20
100,95EE13,10
101,95EE14,15
102,95EE15,15
103,95EE16,10
104,95FF01,15
105,95FF02,5
106,95FF03,15
107,95FF04,0
108,95FF05,10
109,95FF06,5
110,95FF07,15
111,95FF08,10
112,95FF09,5
113,95FF10,5
114,95FF11,5
115,95FF12,10
116,95FF13,0
117,95FF14,0
118,95FF15,15
119,95FF16,10
120,95FF17,10
121,95GG01,25
122,95GG02,90
123,95GG03,20
124,95GG04,55
125,95GG05,35
126,95GG06,45
127,95GG07,70
128,95GG08,50
129,95GG09,25
130,95GG10,55
131,95GG11,40
132,95GG12,75
133,95GG13,15
134,95GG14,20
135,95GG15,15
136,95GG16,35
137,95GG17,50
138,95GG18,65
139,95GG19,70
140,95GG20,65
141,95GG21,70
142,95GG22,55
143,95GG23,10
144,95GG24,10
145,95GG25,50
146,95GG26,35
147,95GG27,60
148,95GG28,50
149,95GG29,45
150,95GG30,25
151,95GG31,55
152,95GG32,55
153,95GG33,10
154,95GG34,15
155,95GG35,65
156,95GG36,20
157,95GG37,25
158,95GG38,15
159,95GG39,65
160,95GG40,55
161,95GG41,10
162,95GG42,10
163,95GG43,10
164,95GG44,60
165,95GG45,15
166,95GG46,65
167,95GG47,100
168,95GG48,60
169,95GG49,50
170,95GG50,45
171,95GG51,70
172,95HH01,5
173,95HH02,15
174,95HH03,5
175,95HH04,10
176,95HH05,20
177,95HH06,25
178,95HH07,25
179,95HH08,15
180,95HH09,15
181,95HH10,5
182,95HH11,15
183,95HH12,10
184,95HH13,25
185,95HH14,15
186,95HH15,10
187,95HH16,10
188,95HH17,10
189,95II01,10
190,95II02,20
191,95II03,0
192,95II04,20
193,95II05,10
194,95II06,5
195,95II07,15
196,95II08,5
197,95II09,10
198,95II10,15
199,95II11,5
200,95II12,0
201,95II13,15
202,95II14,0
203,95II15,0
204,95II16,15
205,95II17,15
206,95II18,15
207,95II19,5
208,95II20,10
209,95II21,20
210,95II22,5
211,95II23,5
212,95JJ01,10
213,95JJ02,20
214,95JJ03,35
215,95JJ04,15
216,95JJ05,25
